product_id,quantity,wholesale_cost,sale_price,supplier_id
14M2F8V9RORE,6467,415.55,689.81,UYLRXCIV
SZPV4UJUJ4L0,3645,403.42,527.27,TANXPDQQ
589LGZLZLC27,4241,431.95,569.74,MFUBGGQI
KDUKCORLIKNS,1490,114.44,137.79,EQXLGHHJ
9FYECDX8A61Q,6950,455.63,703.95,UXPYBZTF
G4J9E4FWJHZY,2079,107.35,165.96,EDBLMFTH
HUG8XQODJF01,1868,139.37,170.17,GXAGGFBI
VNQEDWO6LH3I,2440,114.44,196.04,EDBLMFTH
TWDAU8XYTXAQ,3761,386.16,715.94,EBBQNKMM
YMNKHWO4AU2A,7230,402.08,575.38,GIIXLRCH
YVWOPZKXCFDS,755,38.73,71.03,XBJKPDKC
FTA7DUKEIRUF,2170,114.44,140.76,NVCVUSTT
XM4HYX04G1Z0,2728,124.17,138.82,NTENOERP
A4Y04K4KCT2Y,3880,350.05,426.71,ONSMNAKU
SDCLQXZXVD66,6424,433.33,717.59,ZVQVWANC
1JCNCFLAJ2IA,3252,419.63,628.19,NTENOERP
BAXZE9XUQQ9V,4650,408.79,676.14,HFPVCJRL
VIQJCUFFENGQ,675,34.73,56.71,MFGBXQKF
DBCN8SJSPH2O,2718,133.37,222.46,GIBRUMBP
KO96MH54L672,1079,41.84,50.42,ZXZRBVUV
Q3WZVAM17J81,6099,438.86,617.48,GXAGGFBI
QA97BPLXDV7K,1280,116.04,182.88,IDGKAJJJ
IZ5OBNOKTAZ7,295,9.95,14.96,CIMIXMVK
OXRLI89ZVCPX,2554,125.82,187.85,NCJCTCKB
8G66IUN67CVL,3971,371.8,566.62,NBCKXSYD
UGHYPNM1CCQ4,4448,352.59,650.88,KVHNDYBZ
62HEMI16MCKS,1318,131.68,167.5,STXXDNQZ
6A8HIX75HC5N,1537,130.84,179.64,HUWQAVUH
0JISQGN1BLC5,2694,141.11,160.72,GIIXLRCH
V8DLX0190XQ9,2543,127.48,194.66,ISJDSKXJ
4NF4LACUW3AB,6473,418.27,594.36,ZMRZDYHV
1MLE7X7TO0VJ,3885,450.02,743.43,ISJDSKXJ
979ZIGGDT66R,4349,369.22,578.2,TANXPDQQ
PAD7DJUNNC9W,3632,425.09,496.08,EKYLYNIF
ENFD7VCI39BL,5721,408.79,573.53,UYLRXCIV
G86HMKZP0MYM,1205,129.99,170.03,TYOJTOMZ
DY4KYEFQMH6C,2349,120.07,200.04,GDVLVXYD
RFT4NBC13SDD,6989,396.75,465.78,NWUAPMSW
HOAUKVYD8BRW,916,39.75,70.52,ISJDSKXJ
RTN6ZTMK0ZES,2565,127.48,198.87,ONSMNAKU
15FS7B76F1A6,1128,127.48,192.37,NRAPQGHO
QIF9TSPZ4PO3,3137,426.46,550.99,LAMXTHZE
UTAS4ZGUBYYI,960,47.8,77.53,EDBLMFTH
FWDCOLYM2Z2G,2661,121.7,136.18,JKQRHISX
6GL2RQPMV09Z,1083,41.84,47.7,NCJCTCKB
O1YI8LF5520G,3598,422.35,504.71,QDAQXRXZ
QDOGU5AUFXAH,3278,422.35,511.47,ZXZRBVUV
BI91Q9EIXV2V,1360,130.84,167.34,GIBRUMBP
YMQIG1MP5ROS,1430,87.95,136.06,CNJNFNTK
OQXVUKSGCX5P,2421,135.08,201.0,UYLRXCIV
YZ4T5N8GOI1D,6728,383.54,602.92,ZEOUUSJW
6Y4D703OPU7H,5539,391.44,490.47,EDBLMFTH
4XXQE2GJHD9S,5524,384.85,582.66,PQDCXBTE
SHJPBLBRYLC7,2232,105.8,160.39,PQDCXBTE
34B4W1E0PGOY,561,50.04,77.96,EKYLYNIF
CO2OTCWIYZXI,2575,116.84,204.82,VIIDPXME
0SZP3XY64SOV,3894,352.59,588.83,YIVQFZLU
F0DOZQV7VNFU,5935,387.48,527.75,NWUAPMSW
SDP7RWEB0JLB,6523,407.45,520.72,EQXLGHHJ
U23ALB7HW9Y8,1793,117.64,153.28,TANXPDQQ
JK4B48U0K4VK,479,33.76,46.49,FREEBJJB
7809WR0SBE4M,918,43.43,79.39,GNIJYLAB
0LHZVRQIC4T1,5450,399.41,527.62,TANXPDQQ
ZG6E2QTVM401,2711,137.65,233.45,UCBFAQDG
82TSG5IV4G65,4910,361.5,533.94,LAMXTHZE
I0LADNX168UZ,2733,148.13,212.86,WWILSOPV
3G9Q5F136C9P,1452,90.11,160.22,CVECQIAM
NMI18YO1NYAQ,5206,416.91,657.05,BPFURQET
JFX7E1DWHLH1,7066,438.86,567.88,ZMRZDYHV
D0EN2DL75GDI,348,16.46,25.04,GRMSDYOC
MX28UK1KVEWS,478,39.24,62.63,TYOJTOMZ
MOF3MWUU7H5J,4626,433.33,754.43,BPFURQET
3SXVZXF1B2CB,4718,362.78,431.35,DBGUCAJE
XHDJOE9LARWD,6643,380.92,454.82,FPFGSVTM
VL1MVRX82R3J,3108,425.09,643.59,GIBRUMBP
868840R10NZ0,1683,117.64,147.4,EBBQNKMM
VPERDL4TUNY2,4282,382.22,626.46,OCPOEZVE
COSM40ZXBDGI,6467,429.2,513.32,DOOBGRTI
YF8Z05GXT24L,4601,423.72,783.03,ZXZRBVUV
U8PGXQ1TIS8Z,3978,407.45,502.39,EKYLYNIF
938FUN3FI0A4,6783,371.8,549.52,ZXZRBVUV
DCRT0CASP4EH,1554,124.17,138.7,GNIJYLAB
UT63MKNISBOM,1089,36.21,43.6,UCBFAQDG
4NM9GB4356IW,1107,128.32,178.24,NTENOERP
VQBP0466HGU9,4314,361.5,649.98,HFPVCJRL
KMT39CPX522V,4531,350.05,575.83,EDBLMFTH
QH9T0LV83ZY8,2648,118.45,213.57,EBBQNKMM
49O9UB63EI78,63,3.24,3.69,TANXPDQQ
IZF23QWFTEPA,689,41.84,66.23,GIBRUMBP
B6VR64S42PNV,6547,415.55,701.45,GNIJYLAB
Q5LRZ067EK7K,5866,392.76,547.51,NCJCTCKB
CX3UHBNK2LXU,7235,408.79,615.23,CNJNFNTK
NNK1Y003LTEF,6200,457.04,818.56,EDBLMFTH
MOYIMU8MYGLM,1627,125.82,205.59,NVCVUSTT
NAGR0517PZ60,5130,374.4,588.93,NVCVUSTT
WGJY7W48CLTT,1384,138.51,170.92,UYLRXCIV
U143ZGSY30X2,3026,394.09,465.03,RFTNQGSK
YO0W83UQ2VG1,3989,380.92,447.2,KVHNDYBZ
IMHSVHCMZ7Y3,6076,395.42,628.32,CIMIXMVK
HG9M0KGMB0OB,4768,429.2,772.56,ZXZRBVUV
V4ET5Z6OJUN7,4691,422.35,629.72,VIIDPXME
6M49ZQYSRCWI,3676,436.09,708.65,WLJJEFNP
EDUB67OJRU5S,5979,403.42,677.34,EKYLYNIF
Z9R1TNU03PDI,6599,457.04,542.96,CVECQIAM
SE2LVDBCQNYD,6111,384.85,718.51,KRSHWTGG
KA26B15ZAS20,1492,128.32,176.82,HUWQAVUH
ZI05YSG4SYC8,4955,395.42,582.45,BPFURQET
FOFPR1WNBN5R,4819,356.4,534.24,EDLOOHTK
NIH1R1QQX941,527,38.73,58.99,NBCKXSYD
2DYW85TJDQA7,2226,132.53,180.37,ONSMNAKU
Q9VUF0YROT6T,5347,361.5,576.23,ONSMNAKU
4DXCKTXQ4J3Z,3205,398.08,617.42,HUWQAVUH
NJS30KG9AZ95,4686,364.07,612.0,BPFURQET
QEZTK8SNQUE1,7066,452.82,856.74,QDAQXRXZ
XROQC86DG3A5,847,25.12,39.46,QDAQXRXZ
9P1U5TG6VQX4,1546,127.48,191.73,EDLOOHTK
D9Z0L4A3PFA2,5787,410.14,747.69,MFUBGGQI
6K9A5N9GRQMK,5319,416.91,603.27,ZKUUKRBR
WMVPQKC92LPS,3411,441.64,605.93,CIMIXMVK
1NSGOON9XOEC,4920,436.09,770.13,IDGKAJJJ
WHG4E994N3SC,161,12.08,14.21,PQDCXBTE
KEBR6Y8IJ892,3428,386.16,532.51,WLJJEFNP
ORYV5WPOMPXD,5874,377.0,449.01,DOOBGRTI
XF0MKJIBMKNU,1123,137.65,152.24,ZMRZDYHV
1TDC2V45PP7S,789,38.73,55.35,CVECQIAM
W91LCXQQJRCS,1230,134.22,220.52,CIMIXMVK
TDPRLO57H5ET,4864,373.1,411.53,CGYSSCHR
8UG1GZE09YRI,2722,128.32,162.58,FNSAXLCG
667RC1OQFU4U,6803,464.12,573.19,RFTNQGSK
Z0QWMSWRSENG,3543,433.33,799.93,VCUMMSSB
UD6A5TVBA015,4019,404.76,630.21,FREEBJJB
T756BXMPZ6SE,3701,412.84,713.8,LAMXTHZE
AKMK7E6L6PTZ,1522,112.05,148.8,NBCKXSYD
2PH8CMG0WNH2,6002,420.99,622.64,NTENOERP
HKYUL46N9ADF,2075,126.65,173.0,EBBQNKMM
77RE3989NGJ5,1187,137.65,228.64,BPFURQET
HW1VEVKKEW2N,2895,120.89,154.26,JKQRHISX
TP5180DVKO1Z,6862,450.02,567.03,OCPOEZVE
3UKFUBRLIRIZ,6813,399.41,740.51,NBCKXSYD
732WWS6S5TUO,4417,425.09,700.55,CNJNFNTK
ESQZLFXCTRIG,4522,382.22,672.71,ZXZRBVUV
J4TA75UTN2GI,123,4.42,6.59,KVHNDYBZ
JG098SUJKZA9,1379,141.98,176.06,DOOBGRTI
DJT2FL6TGJD9,4624,395.42,747.34,PQDCXBTE
C9W5LSUH2RS4,7006,403.42,481.68,QDAQXRXZ
8ND5KKGHCA5W,2692,152.59,280.46,VIIDPXME
G8QYMVJAFZ0J,6747,404.76,645.19,OCPOEZVE
EBZWM4I9ZEA3,1873,105.03,144.52,IDGKAJJJ
FVD76OS9QTIP,1633,113.64,211.6,YIVQFZLU
NDAYACSHRB6D,5064,434.71,528.61,XBJKPDKC
RY16L5OPTS0N,1858,121.7,158.45,VCUMMSSB
MZUJG9W2V3JF,2817,116.84,174.21,DOOBGRTI
RSEUGKL5KLVA,1649,116.84,188.23,CVECQIAM
DUFT048UMK9N,6953,398.08,456.2,XBJKPDKC
169WPGDBZZX6,3900,395.42,449.59,LAMXTHZE
Z0LWU30LBB0L,3540,400.75,693.7,FPFGSVTM
037JFD2BQ3PY,752,30.92,39.67,NCJCTCKB
FXUCIY97EZ2M,2272,129.16,148.4,GRMSDYOC
EJ3AGOSEJJSC,2787,125.82,215.66,OCPOEZVE
JGZUOJQG4QCK,5963,411.49,763.73,ZEOUUSJW
EPIGMGOBFT1M,3810,411.49,732.86,NCJCTCKB
63YHDCIULFN1,2823,120.89,171.06,VCUMMSSB
BHREB307ST8I,2782,112.85,191.28,ISJDSKXJ
9A7RYZB4COTJ,3137,412.84,717.93,NVCVUSTT
YDGF894I6MCD,6027,450.02,594.03,BPFURQET
J4X85WQW5MWO,1865,105.8,121.67,RFTNQGSK
GQ6QTQP6POGI,5337,404.76,708.73,KRSHWTGG
IZENMM6FUR11,6249,348.79,446.45,NWUAPMSW
RXENQV4XEJ7L,2745,134.22,203.88,LAMXTHZE
78DTN85IGO3L,2296,137.65,215.84,KRSHWTGG
T0QV16UDN16N,4037,390.12,559.43,ZEOUUSJW
W1THS96OOYNS,6458,378.3,472.88,MFUBGGQI
7WRNTV2V4M9Q,2960,121.7,214.44,TYOJTOMZ
2VL9QZPES86G,7168,472.66,660.78,CNJNFNTK
C243ZIJ0FZVG,6735,391.44,653.31,GDVLVXYD
1ZK8CNDB66NB,5620,426.46,581.26,OCPOEZVE
YM86F53V94CX,4748,396.75,676.46,NTENOERP
BWLHRCXJ1AFD,3469,367.93,613.71,DOOBGRTI
TCJ04TOO5ZGQ,5492,390.12,669.45,FCZOBULH
4LOMKL6B4HPB,2197,133.37,227.53,UCBFAQDG
BHK5IWDOS43P,5546,411.49,490.5,GNIJYLAB
4MJGXNCU4ZFP,6082,445.82,681.66,XBJKPDKC
TW2RRE7AU12A,4032,373.1,577.56,ISJDSKXJ
898VE2DTJ8JW,1146,119.26,141.68,EKYLYNIF
UNA8DMU5AFJM,1780,120.07,179.02,FREEBJJB
QSYQGRRV396Y,4157,423.72,558.46,RFTNQGSK
64GQW4M6JFGV,6408,383.54,704.56,FREEBJJB
JWPDDWD1HBUT,760,34.73,55.22,NCJCTCKB
WCLXC9MR8XSF,522,52.33,98.49,CIMIXMVK
RF3GOL9V9WIM,1209,119.26,197.14,FCZOBULH
5E7P3G7M9R8C,5985,437.48,719.22,WWILSOPV
PM9HMK758UOB,267,15.4,20.94,NCJCTCKB
XJL6SCPZBU8Z,2449,116.04,149.69,ARBKBLYG
0RF8JLWSYJJ2,1973,116.04,160.48,VCUMMSSB
LUUQYZXPZXJ3,4751,345.02,532.71,FNSAXLCG
7N0IT91ZXWNH,7198,369.22,566.75,WWILSOPV
Q5XCPG89R5YK,6508,419.63,552.23,EWZUFAKC
Z7N74XZKBRIL,184,11.45,16.92,UCBFAQDG
A408KM8PQ6FR,1792,135.08,207.48,IDGKAJJJ
SFBGC71WG3AE,3342,392.76,482.7,RMSMOETA
BPG3JB67K68E,5840,415.55,611.27,STXXDNQZ
21S4T9BXJTG8,5527,415.55,580.11,KRSHWTGG
11H644QRSP7U,510,37.71,43.18,TYOJTOMZ
9LLQHJJC1BPZ,6108,370.51,547.98,YIVQFZLU
97JIML4BISN7,6955,375.7,572.19,YIVQFZLU
2MMGU7X4JNVT,1777,130.84,159.89,RMSMOETA
XFURMHFIMT4J,1289,142.85,195.7,NWUAPMSW
48N3KSRBUYEJ,1769,136.79,193.28,ZVQVWANC
VHU7WTIVJLM8,2995,387.48,648.64,ZKUUKRBR
SBRTPGD2YTCA,6003,411.49,569.09,UCBFAQDG
KXBZWIV5AJ8T,5267,419.63,489.29,XBJKPDKC
RRRJCGNGDZ3C,3894,399.41,744.9,CIMIXMVK
P9SSN2S6OW0B,5785,407.45,580.62,EBBQNKMM
M5Q5EKKMH95B,4329,426.46,609.41,NBCKXSYD
9984SVOR2XC1,1265,127.48,210.21,KRSHWTGG
QDYD241GU3M0,3526,369.22,423.5,CGYSSCHR
YV7BPQKRGBVB,2356,135.08,195.87,ONSMNAKU
GT1BPYQV9JZ1,1084,40.27,53.52,DOOBGRTI
CWZP4OV21MCM,3587,365.35,413.21,NBCKXSYD
U66KSFHDITZL,2073,116.84,197.23,FCZOBULH
FA5OAMYJRAYO,2365,105.8,161.45,VCUMMSSB
KXXDYT6Q4NHD,2823,117.64,172.46,MFGBXQKF
E4Z9LNIGMQCX,4391,396.75,596.32,NBCKXSYD
JOJLKXYWD36E,7165,416.91,609.11,MFUBGGQI
1IEZU7X1J1DP,5264,406.1,728.54,KRSHWTGG
XC9UIQU5KTVC,5294,415.55,730.12,GIIXLRCH
QXZNPK09MX5C,6646,419.63,592.1,GNIJYLAB
CUAG3BZ0L2VT,144,2.71,4.91,VCUMMSSB
BQJM4M4EYAZ0,6242,356.4,603.03,DBGUCAJE
UZIPT7PL5GGW,6928,395.42,716.11,DBGUCAJE
2TOR64QMFHX8,2823,143.72,174.33,MFUBGGQI
CM6HVXQPCKRT,2917,120.07,139.28,MFGBXQKF
OBG008CI8MCV,6280,394.09,434.29,FNSAXLCG
WA33AVKE337V,5353,347.53,422.25,GNIJYLAB
FFGVERMPKF0B,2643,132.53,206.35,NRAPQGHO
MKFZ5JZGJJ0J,5085,399.41,532.81,GDVLVXYD
FR4BDAF17QJN,493,39.75,67.46,VIIDPXME
A1S1EL5ZRCRZ,1117,121.7,136.67,CIMIXMVK
27HRSRRWE1GM,1349,124.17,154.47,DOOBGRTI
BQTDNY3UNN2N,5586,415.55,463.34,XBJKPDKC
Q2A9DQDU8W4M,6997,411.49,620.12,FCZOBULH
UN5JS0HIKGVX,53,1.24,1.92,NVCVUSTT
10J75HWLPPZX,3863,395.42,559.12,EBBQNKMM
0KFY6AHVFI5G,5666,342.51,526.1,CNJNFNTK
3FUJ7KXS36VU,3797,461.28,561.38,RFTNQGSK
H64GN1T3PS19,6681,403.42,473.21,PQDCXBTE
EOLOMGPYFFO7,2636,114.44,162.39,XBJKPDKC
JHBXLRIQMKG2,400,17.19,19.77,JKQRHISX
HTC98XK3I3EV,4936,412.84,651.87,NWUAPMSW
VYVOGRQBB7KV,5139,369.22,482.94,ARBKBLYG
199IEQ3SV6EL,307,11.14,15.77,NBCKXSYD
Z6EXTN67JRIS,1719,117.64,223.52,EQXLGHHJ
26HCATEIEKY1,5906,371.8,473.3,CVECQIAM
O4BRLRKJ9ZLI,3837,443.03,611.82,GRMSDYOC
ORHA173TN8N7,3183,420.99,728.73,GIBRUMBP
I4EDH2CW9DL3,657,48.35,63.0,UXPYBZTF
3SCHNFA6K00S,3211,395.42,745.37,FREEBJJB
Q4662RCWF6R1,1004,28.63,43.35,FREEBJJB
3E1SB4MS9D2U,5141,406.1,614.02,KRSHWTGG
Q2QEXHXQF7QJ,5056,419.63,592.52,DBGUCAJE
1DX4GCV7ALZQ,6604,403.42,528.48,HFPVCJRL
NPWOIJICGQBZ,5549,395.42,477.67,CGYSSCHR
HUSQC6AIHGAH,4941,384.85,453.35,CVECQIAM
PIRCCZNYOHAO,7142,394.09,564.73,QDAQXRXZ
278DF8YCO9J8,5838,429.2,709.47,ZVQVWANC
1K9TP0J346JN,3590,471.23,709.2,CNJNFNTK
NBWEVXPFED7B,567,41.84,46.53,CIMIXMVK
ROOP9FFMPZMF,1352,114.44,151.52,MFGBXQKF
VNPVOAH1N9RR,6567,378.3,683.59,BPFURQET
V03SDG3UXXN3,2181,132.53,182.49,RFTNQGSK
4A0G8OAKTOKZ,1332,113.64,212.28,ZMRZDYHV
FEHPKL6L94GW,5958,392.76,681.44,XBJKPDKC
RMEJC2O7QSXS,4240,388.8,667.57,YIVQFZLU
R1355ZBJ7PM9,5394,400.75,716.94,EDLOOHTK
3NUCC58S5R59,3958,396.75,566.56,GRMSDYOC
BGO3PUIP2DI5,5008,391.44,504.96,EDBLMFTH
AKZC7NNYKQN0,5464,426.46,717.73,GIIXLRCH
EB5XK8CUAGEB,32,1.63,2.22,ONSMNAKU
ESYFUXH97EHQ,2406,122.52,137.84,ARBKBLYG
NTNWEILR75BK,3056,407.45,625.03,NRAPQGHO
6HH3EGQU3O4Q,3010,378.3,644.24,CGYSSCHR
12PMHBZAPRH5,4300,400.75,535.0,GRMSDYOC
7FIOWRGSIBTS,3911,425.09,570.9,FNSAXLCG
T08HY8ZSCGI8,6783,422.35,737.42,ZMRZDYHV
B40YIG3NAK1Q,4568,402.08,604.33,OCPOEZVE
JJCKUIAORFYX,2994,430.58,633.81,RMSMOETA
03IA79W21OS4,5328,371.8,705.3,EDBLMFTH
J957ELFGE11B,3014,379.61,706.07,FCZOBULH
WYUK8650370E,6531,423.72,619.9,EKYLYNIF
EGDCAVS6I18E,2281,119.26,220.63,BPFURQET
S6B45JOHV1EW,145,3.81,6.12,QDAQXRXZ
B6K9ZOR33T2P,6421,353.85,494.33,FPFGSVTM
HA883KRPU4LV,3683,423.72,591.51,NRAPQGHO
IP76346RGEO1,3413,410.14,454.02,ZEOUUSJW
JS77OH6RW9U6,5056,416.91,648.71,NTENOERP
B8AFLE36DSXO,3743,415.55,496.58,RFTNQGSK
XWPY4WI4BI93,4979,448.62,820.08,EQXLGHHJ
USNXOAV7B5GB,1586,108.13,204.26,TANXPDQQ
VI7PSICQLUT1,6157,396.75,641.54,DBGUCAJE
GA5GOGLKV0P3,743,41.31,50.07,CVECQIAM
NDJ2ZC8JX9NL,4077,436.09,557.32,ZKUUKRBR
7IFGYGF8W3PI,4097,474.09,871.85,STXXDNQZ
JIXK6VOIQUTZ,5083,414.2,608.46,KVHNDYBZ
Y24GPG20ME67,5000,420.99,793.15,EKYLYNIF
DRO0WVSW5Y1W,6766,351.32,419.83,ARBKBLYG
7N04TMTT9QMP,5532,400.75,726.16,CIMIXMVK
M1BQ1L0ETCXY,1949,127.48,233.03,BPFURQET
H0VT7T4M7BPD,7225,448.62,709.72,TYOJTOMZ
37ROXTQNQOT0,5099,374.4,571.71,NRAPQGHO
ZCBJ5VIRVLOJ,7141,414.2,692.54,ZVQVWANC
UCR9SG11YBES,2619,125.82,143.06,GNIJYLAB
4C0RVU9OYU3X,3743,384.85,707.74,NWUAPMSW
EJEYS5RWPFJN,3749,450.02,626.88,ZEOUUSJW
ANUAV5VVM36B,3829,429.2,654.53,ZEOUUSJW
AF4HQ7E85UPA,7013,471.23,765.28,FCZOBULH
8U3FVUZC382I,6096,459.87,714.18,CNJNFNTK
M2R3FL3T774D,1726,128.32,160.53,EWZUFAKC
D5R9J5W7GCLY,1486,118.45,170.8,WWILSOPV
QNT56HR9G471,846,37.21,67.42,ZVQVWANC
F1WJFGLKDVN2,2291,110.48,184.94,WLJJEFNP
81UQBMIG321C,5059,400.75,704.92,GIIXLRCH
1J95SGNZ3PQL,3552,382.22,501.47,GXAGGFBI
UYREQJBP5W4T,5538,352.59,603.99,GIIXLRCH
KRXEY1YD36PL,6440,375.7,587.22,KRSHWTGG
GYDTHRCFGNNB,4157,426.46,752.7,EWZUFAKC
1BXYY3U313YG,5342,391.44,659.58,PQDCXBTE
JXGINXGQJITQ,1257,150.8,272.8,IDGKAJJJ
N1XNWL7JPDA7,171,9.66,14.22,PQDCXBTE
PK8UNK37QVUB,5228,433.33,670.36,EKYLYNIF
KY6D9PWWACEJ,1561,108.91,138.21,NTENOERP
LZ190AIPGUQY,5279,402.08,668.26,EDLOOHTK
FCLHRGUPP8PQ,6517,420.99,662.64,GIBRUMBP
9TVHUWQT5FMT,6958,448.62,600.7,UCBFAQDG
SCC9BGVDO3HP,6961,394.09,723.16,EWZUFAKC
LWUAFT804GLU,5933,450.02,558.02,GDVLVXYD
57SLXDE9EHDD,5670,452.82,621.27,DBGUCAJE
FLU99ORGUM16,5662,394.09,671.53,CVECQIAM
2VBUOQUW1GPF,5534,404.76,663.4,EQXLGHHJ
6WL7SSBS3MUL,3526,433.33,500.93,CNJNFNTK
K653TJXNSSSO,1616,131.68,234.26,GIIXLRCH
UJL8X9MCYR2E,1711,122.52,175.57,IDGKAJJJ
MNEDNOFHYLQP,3014,364.07,612.0,MFGBXQKF
LJHYEVC962ZY,1816,123.34,156.27,GIIXLRCH
OCIEBFWD2TG6,2539,118.45,206.46,RMSMOETA
Z1PEVA5N1MVE,6512,429.2,481.99,VCUMMSSB
FXZDC1IKM1UF,4033,434.71,804.65,HFPVCJRL
LA600F0XWK4D,6431,366.64,516.96,FCZOBULH
A75PSXBLMZEG,4198,404.76,516.07,FNSAXLCG
M5JXISZG99UX,5786,394.09,673.5,GIIXLRCH
3OI42V8QGH4Q,5472,410.14,748.1,PQDCXBTE
MO6WKCLVU2QB,6748,392.76,451.67,CGYSSCHR
06W1Z8XDX6TC,906,45.59,51.29,ZEOUUSJW
THGCUERS4QHG,1618,115.23,183.79,ZMRZDYHV
FME69KT94QPZ,3881,419.63,642.03,HUWQAVUH
L7MUZYHZTYSM,4886,412.84,730.31,ZEOUUSJW
R6JPN6PMNE1R,922,34.25,52.23,CNJNFNTK
TUJKUJXRE96O,1687,116.04,140.29,VIIDPXME
QMLJ2E49EVHZ,6936,387.48,456.06,GDVLVXYD
QOKEPZ5NDFDC,2406,135.93,223.74,GRMSDYOC
J2L0441YVJO2,1941,135.08,211.94,VCUMMSSB
6BIXF0U77LWH,668,40.79,61.27,VCUMMSSB
31IDN0537E28,3428,394.09,735.77,FCZOBULH
FPE5RI8JPV0L,4824,416.91,486.53,FNSAXLCG
0HUEVM9G0QBU,6260,367.93,682.14,GIBRUMBP
ZO2IKUEL5ZMA,5978,414.2,598.93,RMSMOETA
P8QB9TMF9LT0,4400,422.35,682.1,CNJNFNTK
R78XSAV04A5X,4846,419.63,741.07,ISJDSKXJ
NVW80FG2BRTG,4930,407.45,520.31,ONSMNAKU
7J3ONN3SFDGA,3620,370.51,556.88,EBBQNKMM
E7Y0D4HD9SQN,36,1.36,1.87,EDBLMFTH
FD3B9F1VNXX4,6364,419.63,517.4,EQXLGHHJ
7FOKLUGOFFQI,5207,412.84,589.12,IDGKAJJJ
1HN82UZBOWIJ,212,13.04,20.28,GNIJYLAB
DGXCB4H68154,5308,404.76,548.85,VIIDPXME
6VJOALIRI64K,1816,128.32,239.32,NWUAPMSW
XTRL7Z7LY588,4015,392.76,743.1,KVHNDYBZ
Y416VEFNEHAP,425,31.39,43.04,HUWQAVUH
3FH6V8SJ9LSK,4835,379.61,591.43,MFUBGGQI
G0SDYDE8M4TN,4150,420.99,527.08,WLJJEFNP
QWNMLANQSPUR,2390,101.97,184.57,ZXZRBVUV
GL2NGIFSXS98,3285,374.4,698.26,EWZUFAKC
Z4DXZT7FU0QP,3100,380.92,501.29,EBBQNKMM
8P5OTIO05U8P,2214,107.35,186.79,ONSMNAKU
QK63K9NLN3TH,3661,410.14,486.02,LAMXTHZE
5EQ3TXBEWEZV,7254,433.33,628.33,ZKUUKRBR
VOPIGG3CWIQH,1797,112.85,147.72,GDVLVXYD
W34YGOD9KYRD,6242,425.09,506.71,GIIXLRCH
